,reviews
785,"Jewel opened in mid April. Lots of publicity as well as pre opening tours organised. I missed my pre opening tour due to overseas travel. So I thought I’ll go on a weekday evening after the crowd thins out. The mall was still crowded and some queues seen at more popular F&B establishments. Had dinner at Violet Oon and it was as always yum yum. Impression of the mall is good and better in the evenings. No spoilers here, you got to be there to experience it. What was also impressive was at the exit of the car park, you can key in your car number and a display will show a pic of your car and the location as well as directions to get to your car. Nice."
786,"It a must go and the nite waterfall show is a 'must watch'. It's an inclusive design where wheelchair bound, old, young, teenaged & kids can enjoy. So we'll connected with the 3 terminals."
787,As an experience a visit to Jewel is a great experience. Great selection of restaurants and a cinema but the indoor water feature is awesome. Well worth a day out there. Weekdays was not too busy.
788,"Beautiful view of Changi Jewel from different terminals.
Restaurants around the Jewel are great but you can pay double or close to."
789,Singaporeans are great at creating something from nothing like gardens by the bay. This is another example of it. A very pleasant experience if you have a few hours to spend in the airport. Make time on your departure and go a bit early. lots of shopping and food options as well but its a good and pleasant experience.
790,"The place is filled of forest structures with one of a kind indoor waterfall that changes color, and made it look like more astonishing.
As you look closer using the level of stairs where you can take a live and closer look will set you to the wonderful sight of changi jewel.
The thing is that by this time some of the stalls are quiet not set yet and because of the opening, restaurants and cafe are full of people who wished to visit and witness the beauty of the jewel of Singapore.
So if you are planning to visit the jewel make sure you are ready to the idea that you at least grab something at home before going on the trip.
It was fun when the show runs every after 30 minutes."
791,"This latest iconic Singapore landmark  which recently opened in April 2019 is easily accessible via the various terminals in Changi Airport. 

Open 24 hours, the main highlight of all is the largest indoor waterfall. Loved the Shiseido Forest Valley which is like a park within a building. 

Lots of shopping and food to fill your tummies. 

If you are looking to catch a flight and still explore Jewel, it is advisable you give yourself ample time to move around so that you will not have to rush."
792,"Located in the heart of Changi airport and well connceted to all Terminal make this mall become ""A Must visit spot"" for whoever  transit or visiting Singapore.
Beside A Beautiful indoor ""Water Fall"" that attracting all visitors , they also have a very nice roof garden with various cafe shop n bars for coffee or cold beers.
Mall also full of choices of various resto n fastfoods plus huge shopping area. 
Fully recomended to visit 👍👍"
793,"This is a gigantic place - gigantic vortex in a gigantic mall. The waterfall/vortex is certainly impressive, a great attraction. It is surrounded by shops and restaurants, and thousands of trees and plants. One wonderful feature is the Early Check-in Counter. You can check in early and go around enjoying the sights and sounds, shopping and eating before you go to your terminal for departure. Highly recommended."
794,"Beautifully done. Looks fabulous with the lightning in the evening. The landscaping with the trees, artificial waterfall and the trains timed to cross each other right behind the water fall adds to the beauty of it."
